q,truth,lpbound,pairs,triples,lb,atoms,attrs,t_lp,t_p,t_tr,t_lb,t_t,terr
stats.25,176191.0,4015250.0,1522867.0,176221.0,40124.0,,,,,,,,
stats.26,25033.0,190405.0,32792.0,32792.0,15195.0,,,,,,,,
stats.27,42036.0,540682314.0619711,407139593.26741904,1072030.4591101876,3125.0,4.0,5.0,0.0688049793243408,0.1441287994384765,0.8158185482025146,0.1042089462280273,0.061051607131958,
stats.28,16049150.0,69633433.34965469,69633433.34965469,16049149.999999968,3621653.0,4.0,6.0,0.1325902938842773,0.1130228042602539,2.3997814655303955,0.0562632083892822,0.2510983943939209,
stats.29,595820.0,16213193.880381858,16213193.880381858,2112679.0000000014,130390.0,4.0,6.0,0.0907537937164306,0.0500779151916503,0.5477511882781982,0.0219323635101318,0.0426142215728759,
stats.30,232039659.0,624134946.4993646,469607723.4490332,232039659.0000003,70471.0,4.0,5.0,0.104522705078125,0.2478303909301757,0.9576029777526855,0.1943423748016357,1.8871119022369385,
stats.31,6672465.0,198098200.70564243,139667370.9423575,19383482.00000004,49837.0,4.0,5.0,0.1120960712432861,0.2689716815948486,1.0235064029693604,0.1830568313598632,0.1089615821838378,
stats.32,19402569.0,144158053178.66336,78329113664.00012,438609960.126236,79632.0,4.0,5.0,0.1427011489868164,0.4608774185180664,1.644855260848999,0.3322904109954834,0.352649450302124,
stats.33,6299.0,6725165395.764189,3701504921.000001,88000.00000000006,554.0,4.0,5.0,0.0705103874206543,0.2490181922912597,0.9661498069763184,0.227515697479248,0.0252566337585449,
stats.34,593169291.0,1799049315.4970376,1003828368.0000015,596251188.0000001,57616.0,4.0,5.0,0.0968875885009765,0.2561907768249511,0.8077375888824463,0.1799349784851074,7.889572143554687,
stats.35,3169724.0,211553138.23894668,150431404.60850146,32239199.99999997,34772.0,4.0,5.0,0.0637087821960449,0.0871617794036865,0.4623792171478271,0.0720243453979492,0.0573537349700927,
stats.36,52313.0,207937126.8347541,149284225.0173686,1887682.9824056744,5550.0,4.0,5.0,0.0496866703033447,0.0920121669769287,0.5025639533996582,0.0842502117156982,0.030078649520874,
stats.37,1633681.0,92710990.5688686,60063354.37817431,9050912.000000007,108637.0,4.0,5.0,0.1304726600646972,0.0644912719726562,0.9547362327575684,0.0343303680419921,0.0621616840362548,
stats.38,105742741.0,1790602095.8878326,644640291.0,105742741.0000001,182103.0,4.0,5.0,0.0617117881774902,0.1126306056976318,0.8963625431060791,0.0869975090026855,3.0305185317993164,
stats.39,2034610.0,28940234727.27039,27106093516.828304,75151761.19752464,61958.0,4.0,5.0,0.0650324821472168,0.111661672592163,0.6823751926422119,0.0926635265350341,0.0503497123718261,
stats.40,28565.0,4644816.0,4217543.999999992,244545.0000000001,17232.0,4.0,6.0,0.0832588672637939,0.0908241271972656,0.5941061973571777,0.04441499710083,0.0175042152404785,
stats.41,1717.0,815024.1691209748,255359.99999999977,11331.999999999996,1062.0,4.0,6.0,0.0321917533874511,0.02409029006958,0.0684816837310791,0.007580280303955,0.0169777870178222,
stats.42,896180.0,2629711.058658984,1331347.0000000005,915413.9999999997,289701.0,4.0,6.0,0.132765531539917,0.0891187191009521,1.4553565979003906,0.0430982112884521,0.0530734062194824,
stats.43,7661811.0,518645059.2736548,378476341.54999,58846511.000000015,109384.0,4.0,5.0,0.0513145923614501,0.09041428565979,0.994682788848877,0.072786808013916,0.1403567790985107,
stats.44,2101105.0,896961125.1363728,509451971.6386882,50767485.99999996,87134.0,4.0,5.0,0.0741631984710693,0.175631046295166,0.9984912872314452,0.1550285816192627,0.0803272724151611,
